Area,Location,Property Type,Number of structures,Swimming Pool,Boundary,Age Category,Land Rate,Market Value,Number of rooms,Proximity to schools(km),Proximity to healthcare(km),Proximity to malls(km),Proximity to highway(km),Latitude,Longitude
955.81,medium density,single_storey,1,Yes,walled,established,64.28571429,129576.0,5,0.36373356,1.071718009,4.690537342,0.147253534,-17.819281879388132,31.06884999553071
1005.94,medium density,single_storey,1,No,walled,relatively new,64.28571429,132056.1143,3,0.392187155,1.056813325,4.675095881,0.17335342,-17.827444494903173,31.101990633744922
628.0,medium density,single_storey,1,No,walled,relatively new,64.28571429,107376.2,4,0.377250526,1.063762822,4.667399559,0.171607639,-17.77504212443173,31.13455831895945
664.98,medium density,single_storey,1,Yes,walled,established,64.28571429,108440.1929,4,0.351131874,1.075480926,4.717979706,0.119391267,-17.781693103144047,30.994855584985196
611.38,medium density,single_storey,1,No,walled,new,64.28571429,102596.7143,3,0.3629722,1.096942312,4.738404484,0.110902181,-17.761032075558052,31.11405964016833
1116.88,medium density,single_storey,2,No,walled,new,64.28571429,134831.1571,6,0.389321763,1.093233027,4.731623284,0.133901579,-17.82729020158921,31.113885855625927
1042.58,medium density,single_storey,1,No,walled,new,64.28571429,129081.4357,3,0.406893334,1.086429339,4.738938738,0.143602533,-17.81449451920552,31.002402215283684
637.65,medium density,single_storey,1,No,walled,established,64.28571429,102589.6143,5,0.306451962,0.994103862,4.657323125,0.165255177,-17.812847773491825,31.094965685451697
611.4,medium density,single_storey,1,No,walled,established,64.28571429,100654.7643,2,0.632622725,0.83548959,4.582701022,0.118121955,-17.84694662403909,31.062410888773893
594.89,medium density,single_storey,1,No,walled,established,64.28571429,99423.21429,5,0.622360653,0.842643449,4.582853235,0.121299757,-17.77451167648531,31.04847365240867
602.09,medium density,single_storey,2,No,walled,established,28.57142857,77577.50714,4,0.610070829,0.849190528,4.579186499,0.123114419,-17.80278355019786,31.01642146349563
661.2,medium density,single_storey,1,No,walled,established,57.14285714,97729.4,6,0.594438652,0.856424342,4.571741756,0.125902568,-17.750998019874807,30.973546510961892
681.2,medium density,single_storey,1,No,walled,established,64.28571429,103543.5286,4,0.641974054,0.817846498,4.562742587,0.097754734,-17.830310814541306,31.11085341666935
408.24,medium density,single_storey,1,No,walled,relatively new,35.71428571,72757.39286,4,0.62781091,0.822765711,4.552908257,0.094861356,-17.829816973173237,31.078753328036896
423.75,medium density,single_storey,1,Yes,walled,relatively new,57.14285714,81726.5,3,0.613787059,0.828040426,4.542558483,0.096095102,-17.775973747307116,31.07710739258981
603.55,medium density,single_storey,1,Yes,walled,relatively new,64.28571429,95348.82143,6,0.652307526,0.779596461,4.498340718,0.047284397,-17.80737943720535,31.040595280244876
413.24,medium density,single_storey,3,No,walled,relatively new,35.71428571,71001.77143,5,0.627727111,0.809142589,4.523827429,0.07672865,-17.754864855142266,30.962223104943995
664.98,medium density,single_storey,1,Yes,walled,relatively new,64.28571429,98954.37143,3,0.496811351,0.936170762,4.586477055,0.048687969,-17.79553572495342,31.120603254063504
616.66,medium density,single_storey,1,Yes,walled,relatively new,64.28571429,95832.60714,5,0.460134863,0.957515866,4.564579285,0.017336805,-17.819498739504905,31.027495745974317
420.92,medium density,single_storey,1,No,walled,new,57.14285714,79967.52143,3,0.452058819,0.962001357,4.556227695,0.026641124,-17.817336602335534,31.073804251663688
955.77,medium density,single_storey,1,No,walled,old,64.28571429,116341.4857,5,0.444634674,0.966600481,4.548384972,0.023671531,-17.80114459406639,31.00955039729426
438.17,medium density,single_storey,1,No,walled,old,57.14285714,79768.20714,2,0.437186702,0.971888873,4.541261708,0.015766926,-17.831273137822894,31.03005050309611
438.16,medium density,single_storey,1,No,walled,established,57.14285714,79000.35714,4,0.428766843,0.97870195,4.534900034,0.020447031,-17.833540524709974,31.089017589404065
594.96,medium density,single_storey,1,No,walled,relatively new,64.28571429,87867.90714,3,0.416281468,0.990288465,4.533024325,0.035442209,-17.835860641762324,31.072964378357543
650.0,medium density,single_storey,2,No,walled,relatively new,64.28571429,95637.77143,4,0.409881777,0.994896715,4.525520636,0.048032071,-17.845135272065978,30.993420005173448
619.76,medium density,single_storey,1,No,walled,relatively new,57.14285714,89018.96429,6,0.401819874,0.980629329,4.521110779,0.061818673,-17.847460296560964,31.07667322544311
438.18,medium density,single_storey,1,No,walled,relatively new,57.14285714,78627.86429,3,0.38923491,0.964804774,4.521124277,0.078082851,-17.805534955694448,31.1474353670988
664.95,medium density,single_storey,2,No,walled,relatively new,64.28571429,96306.09286,2,0.490461452,0.92173719,4.526686592,0.026796448,-17.786430141023057,31.075090601313196
445.44,medium density,single_storey,1,No,walled,relatively new,57.14285714,78864.74286,5,0.484581578,0.925142184,4.517694189,0.037300673,-17.81830970099751,31.097062579933915
654.17,medium density,single_storey,1,No,walled,relatively new,57.14285714,90575.77143,2,0.475955607,0.932086275,4.511881855,0.022110922,-17.750430793675413,31.03445780879141
421.18,medium density,single_storey,1,No,walled,relatively new,57.14285714,77108.17857,2,0.464668649,0.942302829,4.509132295,0.018640117,-17.76248179626142,31.104179629368225
594.99,medium density,single_storey,1,No,walled,relatively new,64.28571429,91104.16429,6,0.456575656,0.94965781,4.503553095,0.023439192,-17.845434667447112,31.013531378527684
438.13,medium density,single_storey,1,Yes,walled,old,57.14285714,77199.5,4,0.445401485,0.960609082,4.502195708,0.031869734,-17.835568139231736,30.993402113492444
418.07,medium density,single_storey,1,No,walled,old,57.14285714,75935.90714,3,0.523961343,0.884663401,4.488270104,0.067563585,-17.78972540302071,30.97742894501569
594.9,medium density,single_storey,1,No,walled,established,64.28571429,90138.95714,4,0.518801852,0.888241057,4.478248861,0.075383316,-17.766530440825996,31.138242899839916
450.01,medium density,double_storey,1,No,walled,established,35.71428571,67961.55,4,0.506329861,0.900059186,4.477077018,0.022322875,-17.75922005591378,31.12195600124402
503.18,medium density,single_storey,1,No,walled,established,35.71428571,69833.16429,3,0.497996696,0.908037592,4.472698033,0.031709026,-17.807005614659506,31.11400569053783
401.73,medium density,single_storey,1,No,walled,established,57.14285714,74249.1,3,0.479734975,0.929552143,4.444968269,0.042213434,-17.760395140223533,31.027847228903074
419.14,medium density,single_storey,1,No,walled,established,35.71428571,75146.67857,5,0.472699341,0.938920728,4.439182299,0.037698771,-17.80010638253781,31.119331733201673
414.46,medium density,single_storey,1,No,walled,established,35.71428571,65459.42857,4,0.53028649,0.878300224,4.417738108,0.050001138,-17.803137710388025,31.129174139331262
408.15,medium density,single_storey,1,No,fenced,established,35.71428571,64891.33571,5,0.523669386,0.886674802,4.412638727,0.035672262,-17.7993191140041,31.046887273432926
611.32,medium density,single_storey,2,No,walled,established,64.28571429,89577.37143,3,0.517496171,0.895425841,4.406241284,0.020033104,-17.77066890286484,31.05216215833017
664.98,medium density,single_storey,1,No,walled,established,64.28571429,92852.41429,5,0.543111718,0.864158144,4.419492982,0.068054664,-17.819902509999967,30.95815137157629
445.44,medium density,single_storey,1,No,walled,established,57.14285714,75340.00714,4,2.526576141,1.763768796,5.007185043,0.886072782,-17.800737432519842,31.058092498480097
619.84,medium density,single_storey,2,No,walled,established,57.14285714,84999.12857,6,0.61978004,0.786499431,4.386602306,0.095739239,-17.825487691314606,31.08297929833682
605.7,medium density,single_storey,1,Yes,walled,established,57.14285714,83959.77857,4,0.607394094,0.799019001,4.391397203,0.085363328,-17.80302430296664,31.034123849785747
401.81,medium density,single_storey,1,No,walled,established,35.71428571,63695.9,6,0.595683464,0.81122778,4.39174949,0.071667338,-17.833765821931568,31.063678170184193
664.97,medium density,single_storey,1,No,walled,relatively new,64.28571429,90907.67857,3,0.588958758,0.819157792,4.385491211,0.056700365,-17.823853893320987,31.097357441548095
410.38,medium density,single_storey,1,No,walled,relatively new,57.14285714,71582.36429,4,0.578915056,0.83044506,4.383912136,0.042547576,-17.815270719123404,31.124409206648224
415.96,medium density,single_storey,1,No,walled,relatively new,57.14285714,58172.67143,4,0.771808822,0.649766051,4.403082263,0.083568209,-17.82120015609081,31.05143151393843
406.82,medium density,single_storey,1,No,walled,relatively new,35.71428571,61549.54286,4,0.756439062,0.660391572,4.395832429,0.079015218,-17.84933749728109,31.120933296477983
426.6,medium density,single_storey,1,No,walled,relatively new,57.14285714,71291.11429,3,0.744601032,0.668752193,4.388655247,0.080939466,-17.773759344649495,30.950221322279784
603.53,medium density,single_storey,2,No,walled,relatively new,64.28571429,85537.22857,5,0.790943844,0.627044765,4.380657999,0.10773516,-17.80146456901904,31.09982593238115
402.29,medium density,single_storey,2,No,walled,relatively new,35.71428571,56727.79286,3,2.350244328,1.477980847,4.654758781,1.242643721,-17.809759334685747,30.9768718890498
410.34,medium density,single_storey,1,No,walled,relatively new,57.14285714,70071.52143,4,2.33054942,1.472224626,4.628755934,1.263175762,-17.789541497085366,31.09053663603067
637.61,medium density,single_storey,1,No,walled,new,64.28571429,87370.78571,4,2.310802622,1.470182104,4.600114824,0.309544525,-17.784249389464147,30.950251810870245
410.38,medium density,single_storey,1,No,walled,new,57.14285714,56590.14286,2,2.318160547,1.485034257,4.600502377,1.278907414,-17.808687703238554,30.996538190584744
594.97,medium density,single_storey,1,No,walled,new,64.28571429,84496.42143,4,2.292128191,1.468499287,4.572971304,0.288829622,-17.798749471393077,31.005224213694127
412.02,medium density,single_storey,1,Yes,walled,new,28.57142857,69655.9,3,2.281922511,1.466865965,4.55870681,0.242246625,-17.835230976128397,31.11395201798477
420.99,medium density,single_storey,1,No,walled,new,57.14285714,70065.52857,3,2.284121729,1.385667577,4.619650848,0.315346877,-17.84191391534939,31.06608626834056
425.62,medium density,single_storey,1,No,walled,new,35.71428571,61157.83571,4,2.298892343,1.415758756,4.620944808,0.316549033,-17.75890982137021,31.131905214045247
413.38,medium density,single_storey,1,No,walled,relatively new,35.71428571,69345.42143,2,2.232634142,1.377689443,4.548118247,0.232785542,-17.760959450142433,31.022959200676635
408.96,medium density,single_storey,1,No,walled,relatively new,35.71428571,60197.05,5,2.239579169,1.412917802,4.53379708,0.213015386,-17.795757305945937,31.07677064433839
399.62,medium density,single_storey,1,No,walled,new,57.14285714,68062.00714,4,2.211242783,1.372728471,4.519827298,0.202791436,-17.770266383499223,31.077480459694026
445.44,medium density,single_storey,1,No,walled,new,57.14285714,70441.72857,3,0.77929419,0.634399761,4.370771753,0.107138744,-17.839013766694727,31.00958092041644
654.31,medium density,single_storey,2,No,walled,new,57.14285714,82235.24286,5,0.768430358,0.641902753,4.360624259,0.110846059,-17.779847932409876,31.14143868843649
404.98,medium density,single_storey,1,No,walled,new,57.14285714,67987.58571,3,0.57277533,0.838559271,4.378265419,0.028188451,-17.83590631936869,31.059087446919296
401.4,medium density,single_storey,1,No,walled,old,57.14285714,67750.85,3,0.567251807,0.84690904,4.371160145,0.01245111,-17.832873710766535,31.122369983118094
432.0,medium density,single_storey,1,No,walled,old,57.14285714,69449.68571,3,0.561144106,0.859718976,4.356525071,0.016361197,-17.82873564944081,31.040366778444827
410.41,medium density,single_storey,2,No,walled,relatively new,57.14285714,55002.65714,3,2.223063617,1.474369476,4.464731031,0.178445522,-17.766907539938025,30.951414502774156
453.49,medium density,single_storey,1,No,walled,relatively new,35.71428571,60816.75,5,2.205182941,1.476541228,4.436456486,0.168025301,-17.76248205092109,31.013713244831685
402.87,medium density,single_storey,1,No,walled,relatively new,57.14285714,67531.32857,4,2.174344731,1.416778494,4.434377236,0.126988126,-17.78772275211903,31.095274760452842
420.84,medium density,single_storey,1,No,walled,relatively new,57.14285714,68506.67143,4,2.156887065,1.424363809,4.403281881,0.115020596,-17.754051259835137,31.0688945109489
408.24,medium density,single_storey,1,No,walled,relatively new,35.71428571,58986.13571,5,2.189640719,1.480195745,4.410637305,0.164763787,-17.775267545760563,30.982034393824595
410.41,medium density,single_storey,1,No,walled,relatively new,35.71428571,58805.12143,2,0.556456589,0.868747447,4.35014435,0.031275641,-17.842506083986194,30.962825422169075
594.98,medium density,single_storey,1,No,walled,relatively new,64.28571429,82227.54286,6,0.550122311,0.879319814,4.346301389,0.045444104,-17.81112218597811,31.02028354241781
409.85,medium density,single_storey,1,No,walled,relatively new,57.14285714,67379.94286,5,0.544246913,0.889931856,4.342336854,0.40926936,-17.845698660052168,30.96525861198686
412.17,medium density,single_storey,1,No,walled,established,57.14285714,67511.67857,5,0.537716481,0.891565077,4.339664422,0.411007408,-17.824912759803208,31.02674611927768
405.0,medium density,single_storey,2,No,walled,established,35.71428571,58366.61429,4,0.51484693,0.903634162,4.391664357,0.011375857,-17.78323070770109,31.088228666576757
417.68,medium density,single_storey,1,No,walled,established,57.14285714,67766.69286,5,0.505704302,0.915829946,4.390473368,0.018822753,-17.811673985865404,31.00403885552336
409.9,medium density,single_storey,1,No,walled,established,57.14285714,67068.39286,3,0.495844892,0.929558008,4.389156678,0.459577768,-17.828703740166084,31.02988745197806
409.81,medium density,single_storey,1,No,walled,established,57.14285714,67037.00714,5,0.491621777,0.938195392,4.383665944,0.458517934,-17.83957579208771,30.953098285243957
413.3,medium density,single_storey,1,No,walled,established,35.71428571,58278.75,5,0.464035697,0.953234354,4.427531324,0.042873682,-17.760996487479886,31.073706736788356
400.68,medium density,single_storey,1,No,walled,established,57.14285714,66260.4,3,0.455752393,0.94443496,4.425386853,0.054931613,-17.78534603978957,31.098181121941757
413.28,medium density,single_storey,1,No,walled,established,35.71428571,58058.0,4,0.445767737,0.928446137,4.425096845,0.069819186,-17.819561721943902,30.987446695727602
417.87,medium density,single_storey,1,No,walled,established,57.14285714,67105.7,3,2.166975885,1.479526167,4.3775799,0.16248147,-17.800079735775203,31.108580179304255
399.59,medium density,single_storey,2,No,walled,established,57.14285714,65962.13571,5,2.143813973,1.473816725,4.347739569,0.160991294,-17.815212405451838,31.100908130753126
438.46,medium density,single_storey,1,No,walled,established,57.14285714,71283.93571,4,2.087893984,1.321758745,4.375397945,0.057999499,-17.761944079724767,31.086216559143732
419.27,medium density,single_storey,1,No,walled,established,35.71428571,67001.99286,3,2.039902969,1.278243126,4.336628639,0.051883805,-17.82353970893478,31.149622316204916
404.99,medium density,single_storey,2,No,walled,established,35.71428571,57499.52857,4,2.169543998,1.316840225,4.496675207,0.197038584,-17.841509295768535,31.103422694063255
416.84,medium density,single_storey,1,No,walled,established,57.14285714,66403.87857,6,2.149939082,1.320150036,4.465905114,0.160078895,-17.781048174798958,30.9591818092382
603.6,medium density,single_storey,1,No,walled,established,64.28571429,81360.75714,5,2.128166197,1.294820981,4.451359161,0.157471437,-17.841247050770004,31.00424247697086
415.96,medium density,single_storey,1,No,walled,new,57.14285714,52843.99286,4,2.107547565,1.257733372,4.446125561,0.178294441,-17.807646230012445,31.10471072879829
405.0,medium density,single_storey,1,No,walled,established,57.14285714,65531.46429,3,2.142351273,1.28954792,4.475348563,0.188219347,-17.82539673121607,30.991087620147326
404.48,medium density,single_storey,2,No,walled,relatively new,35.71428571,56646.41429,5,2.141450919,1.297158182,4.468997823,0.176152424,-17.757593252453262,30.991392073735
418.04,medium density,single_storey,1,No,walled,relatively new,57.14285714,65987.26429,3,2.094393337,1.271319376,4.418441993,0.137405423,-17.754158827607608,30.963547818705145
413.03,medium density,single_storey,2,No,walled,relatively new,35.71428571,56830.30714,4,0.613705776,0.80428222,4.331256617,0.052929629,-17.764210862524482,31.01569085066049
451.78,medium density,single_storey,1,No,walled,relatively new,57.14285714,67863.32143,4,0.624085239,0.804010946,4.301876479,0.069848798,-17.754277970573554,31.141588755775405
409.91,medium density,single_storey,1,No,walled,relatively new,57.14285714,65411.93571,3,0.584091996,0.852339569,4.312850916,0.373673556,-17.826334887521128,31.105839461440183
412.89,medium density,single_storey,2,No,walled,old,57.14285714,65553.83571,4,2.010636727,1.09155548,4.412338557,0.25143881,-17.77071508080915,31.080351538890326
403.09,medium density,single_storey,1,No,fenced,established,35.71428571,56341.70714,4,1.973946756,1.152817516,4.325247902,0.181307039,-17.844796678179527,31.007511316094735
406.0,medium density,single_storey,1,No,walled,established,35.71428571,67969.25714,4,1.962619793,1.047546409,4.371850667,0.262728418,-17.783864257561344,31.06849364377249
401.4,medium density,single_storey,1,No,walled,established,57.14285714,64677.92857,5,1.80518311,1.060306804,4.156131073,0.210177809,-17.755681567475232,31.138727046986624
596.23,medium density,single_storey,1,No,walled,established,64.28571429,79973.27143,4,1.837251299,1.090893927,4.179724044,0.175890331,-17.787005053898877,31.14357527877879
443.16,medium density,single_storey,1,No,walled,established,57.14285714,66902.65,4,1.831531372,1.076501615,4.180781564,0.186509217,-17.764277818231864,30.982493573379898
405.0,medium density,single_storey,1,No,walled,relatively new,35.71428571,55996.07857,5,1.848053659,1.072028333,4.204977749,0.1821781,-17.843447593707506,30.98545880506398
415.21,medium density,single_storey,1,No,walled,relatively new,35.71428571,56346.41429,2,1.784335529,1.033481058,4.144866142,0.235964302,-17.790854085374693,31.08170835870621
401.4,medium density,single_storey,1,No,walled,relatively new,57.14285714,51540.73571,5,1.77862904,1.01620254,4.147394128,0.24868667,-17.83576639280784,31.0432385953943
416.82,medium density,single_storey,1,No,walled,relatively new,57.14285714,65225.94286,3,1.775282886,1.033423063,4.133357499,0.241540262,-17.79833845191192,31.128744189069884
400.59,medium density,single_storey,1,No,walled,old,57.14285714,64232.42857,3,1.749086476,1.024270067,4.105409062,0.263359509,-17.784260301181007,31.04645040660697
417.6,medium density,single_storey,2,No,walled,old,57.14285714,65180.04286,4,1.741513434,1.037720776,4.088160281,0.265530286,-17.7838177016355,31.114392398024634
453.46,medium density,single_storey,2,No,walled,old,35.71428571,57489.09286,3,1.764064542,0.986414013,4.145502822,0.274413947,-17.76391960361732,31.06517941229257
401.76,medium density,single_storey,1,No,walled,old,57.14285714,64111.27857,3,1.751445587,0.973048622,4.13691192,0.288755546,-17.769279822041522,31.018036540190455
413.61,medium density,single_storey,1,No,walled,old,35.71428571,55788.03571,3,1.772233488,0.972320221,4.163536207,0.282081281,-17.79333502700366,31.099357374724377
396.71,medium density,single_storey,1,No,walled,established,57.14285714,63491.66429,3,1.800185969,0.986227965,4.191562193,0.264543806,-17.764515719553277,31.033773520672504
400.68,medium density,single_storey,1,No,walled,established,57.14285714,63717.49286,5,1.830078457,1.013919875,4.214775382,0.235944223,-17.78950344051547,31.014754214922203
411.95,medium density,single_storey,1,No,walled,established,57.14285714,64317.01429,3,1.873223702,1.032254722,4.260876845,0.221331676,-17.790113338747624,30.976522726049847
413.14,medium density,single_storey,1,No,walled,established,57.14285714,64365.62857,3,1.798736421,0.952568662,4.20786032,0.297375994,-17.816645308629123,31.031132134688832
400.66,medium density,single_storey,1,No,walled,established,57.14285714,63635.17857,3,1.797872794,0.938372624,4.214254152,0.312276419,-17.83720169371748,31.061622185879717
411.94,medium density,single_storey,1,No,walled,established,35.71428571,55419.15714,4,1.808113628,0.938059879,4.227519247,0.314236926,-17.84688360735175,31.1453074360918
409.85,medium density,single_storey,1,No,walled,relatively new,57.14285714,64086.67143,4,1.190612183,1.038987252,5.015948274,0.261108679,-17.774110470207933,31.040517257369512
405.0,medium density,single_storey,1,No,walled,relatively new,35.71428571,55130.68571,4,1.392428039,0.130058533,4.120112439,0.093540907,-17.839491623661853,31.00292451590025
408.28,medium density,single_storey,2,No,walled,relatively new,35.71428571,55222.97857,3,1.376413667,0.144464322,4.137570403,0.107913357,-17.777639604494947,31.115237725314508
409.32,medium density,single_storey,1,No,walled,relatively new,57.14285714,63998.21429,2,1.337970587,0.075642035,4.055076682,0.133217614,-17.841979113103793,31.094623191286075
409.89,medium density,single_storey,2,No,walled,relatively new,57.14285714,64023.65714,3,1.323727064,0.082950684,4.041704707,0.111120892,-17.829394624847705,30.963218342546174
401.48,medium density,single_storey,1,No,walled,relatively new,57.14285714,63525.97857,3,1.304515867,0.113106059,4.084539266,0.151069806,-17.79543349361184,31.09661064375094
415.77,medium density,single_storey,1,No,walled,relatively new,57.14285714,64314.99286,3,1.326877627,0.100889781,4.086009239,0.161571841,-17.793666547073805,30.98678341450146
404.99,medium density,single_storey,2,No,walled,relatively new,35.71428571,55016.66429,6,0.680543957,0.206401364,3.110607032,0.278331076,-17.77564626894836,31.11311589321457
412.03,medium density,single_storey,3,No,walled,relatively new,35.71428571,55265.06429,4,2.163370487,1.809336329,4.081824624,0.293157365,-17.76326008658961,31.007748600335887
404.44,medium density,single_storey,1,No,walled,relatively new,35.71428571,54919.37857,4,2.136075373,1.782901333,4.115828717,0.320007146,-17.794620612461145,30.95798862370984
408.68,medium density,single_storey,1,No,walled,relatively new,57.14285714,63668.26429,4,2.124636039,1.771321411,4.125020875,0.317985902,-17.783159754408683,30.95922182027386
409.32,medium density,single_storey,1,No,walled,relatively new,57.14285714,63693.65,3,2.144787326,1.790585189,4.097402333,0.290126105,-17.768006169029043,31.098573303941162
421.2,medium density,single_storey,1,No,walled,relatively new,57.14285714,64295.53571,4,2.115949075,1.761646991,4.123293809,0.292568645,-17.805986676881037,31.133545643903677
437.75,medium density,single_storey,1,No,walled,relatively new,28.57142857,52714.5,3,2.148395335,1.793546854,4.087367691,0.270305183,-17.83439357910489,31.090344482834226
410.94,medium density,single_storey,1,No,walled,established,35.71428571,54883.41429,4,2.181143815,1.82809286,4.075469858,0.320564199,-17.82932629068422,31.12709763934706
401.79,medium density,single_storey,1,No,walled,established,35.71428571,54518.1,4,2.149062145,1.797066323,4.115497691,0.349405521,-17.81634298296871,31.04905869268057
401.01,medium density,single_storey,1,No,walled,established,57.14285714,63075.5,4,2.145000773,1.792629639,4.115534679,0.340141027,-17.772721086645507,31.103927909894796
664.99,medium density,single_storey,1,No,walled,established,64.28571429,82908.35,5,2.194646058,1.842656157,4.073895814,0.349424187,-17.825742247776326,30.952895548393457
421.26,medium density,single_storey,1,No,walled,established,57.14285714,64085.22857,3,2.165571491,1.814472248,4.10923573,0.371040821,-17.761386972216044,30.952055088607597
413.01,medium density,single_storey,1,No,walled,established,35.71428571,54759.78571,6,2.184998754,1.835124172,4.10367562,0.400605275,-17.817320709312693,31.04049782687423
403.82,medium density,single_storey,2,No,walled,established,35.71428571,62861.81429,4,2.164397157,1.816278413,4.138888692,0.103738345,-17.75803653072034,31.14359019704961
417.9,medium density,single_storey,1,No,walled,established,57.14285714,63565.47857,5,2.214902549,1.86528146,4.079385522,0.409307671,-17.814176448149055,31.08289882450767
453.52,medium density,single_storey,2,No,walled,established,35.71428571,55790.45714,3,2.226142605,1.875922645,4.063300581,0.39689365,-17.832083163068365,31.11594881375964
409.29,medium density,single_storey,1,No,walled,established,57.14285714,62948.9,4,2.21130732,1.86025247,4.06822624,0.374607842,-17.770138703167788,31.006133484064677
405.04,medium density,single_storey,2,No,walled,established,57.14285714,62686.15714,4,2.211586527,1.863780899,4.10019623,0.449155107,-17.847342638769483,31.1411393696454
415.22,medium density,single_storey,2,No,walled,established,35.71428571,54198.68571,4,2.144897458,1.799784648,4.18368912,0.498469669,-17.77508297263895,31.129279305321937
412.02,medium density,single_storey,1,No,walled,established,35.71428571,54071.25,4,2.135408009,1.789674591,4.186329693,0.119549776,-17.75380719246776,31.108681438816074
416.81,medium density,single_storey,1,No,walled,established,57.14285714,63151.00714,3,2.130109589,1.782221234,4.171405989,0.080855354,-17.830719840868547,30.99157641838554
413.49,medium density,single_storey,1,No,walled,established,35.71428571,53772.5,5,2.062966717,1.71840368,4.259495768,0.513640382,-17.826551771105862,30.95348118324812
412.67,medium density,single_storey,1,No,walled,established,57.14285714,59623.80714,3,2.046683861,1.700987104,4.264124433,0.496201891,-17.75633823125801,31.020618814891872
417.6,medium density,single_storey,2,No,walled,established,57.14285714,62851.01429,4,2.089040503,1.746116911,4.250951053,0.53942972,-17.7774488903615,31.021247825902066
417.67,medium density,single_storey,1,No,walled,established,57.14285714,62755.42857,4,2.049874669,1.696086778,4.189908755,0.081748027,-17.75727340276118,31.09693852848643
409.84,medium density,single_storey,2,No,walled,relatively new,35.71428571,53445.34286,4,2.02202806,1.668734778,4.220384867,0.085288646,-17.8499155165028,31.138868252623176
401.96,medium density,single_storey,2,No,fenced,relatively new,35.71428571,53016.60714,4,1.991583315,1.639251502,4.257127418,0.096168042,-17.804023235625657,30.975035370115354
404.98,medium density,single_storey,1,No,walled,relatively new,57.14285714,61788.72857,3,1.962092343,1.607963942,4.268837004,0.145155337,-17.75292389707632,31.021145119337465
416.23,medium density,single_storey,2,No,walled,relatively new,57.14285714,62326.2,4,1.992047789,1.637076446,4.233091507,0.140130435,-17.808995101617406,31.09865484024495
408.24,medium density,single_storey,1,No,walled,relatively new,35.71428571,53120.85714,5,2.02689189,1.671689459,4.198070336,0.12812823,-17.777771809654972,30.993047401650202
